Наименование;Артикул;Бренд;Модель;Наличие;Цена;Старая цена;Ссылка на карточку с товаром
Jet Kid Start blue Умные детские часы;80235265;Jet;Excidium;5;2310 руб;3550 руб;https://parsinger.ru/html/watch/1/1_1.html
Фитнес- браслет BAND 6 FOREST GREEN FARA-B19 HUAWEI;80581842;Huawei;Band 6 FRA-B19;15;5480 руб;8565 руб;https://parsinger.ru/html/watch/1/1_2.html
Умные часы GT 3 MIL-B19S BLACK HUAWEI;8058184234;Huawei;Band 6 FRA-B19;15;21810 руб;22565 руб;https://parsinger.ru/html/watch/1/1_3.html
Умные часы GT 3 MIL-B19V BROWN HUAWEI;80615308;Huawei;GT 3 MIL-B19V;22;21810 руб;23800 руб;https://parsinger.ru/html/watch/1/1_4.html
Умные часы GT RUNNER-B19S BLACK HUAWEI;80616445;Huawei;GT RUNNER-B19S;10;27770 руб;30170 руб;https://parsinger.ru/html/watch/1/1_5.html
Умные часы GT RUNNER-B19A GREY HUAWEI;80616446;Huawei;GT RUNNER-B19A;7;27770 руб;29000 руб;https://parsinger.ru/html/watch/1/1_6.html
Умные часы GT 3 MIL-B19 GOLD HUAWEI;80616447;Huawei;GT 3 MIL-B19;8;24230 руб;24480 руб;https://parsinger.ru/html/watch/1/1_7.html
Умные часы WATCH 3 GALILEO-L11 STEEL HUAWEI; 80590693;Huawei;Watch 3 Galileo-L21E;18;32600 руб;32900 руб;https://parsinger.ru/html/watch/1/1_8.html
Умные часы GT 3 JPT-B19V BROWN HUAWEI;80609751;Huawei;GT 3 JPT-B19V;40;24230 руб;24480 руб;https://parsinger.ru/html/watch/1/1_9.html
Умные часы FIT ELEGANT TIA-B29 MIDNIGHT BLACK HUAWEI;80578978;Huawei;Fit Elegant TIA-B29;32;11460 руб;11580 руб;https://parsinger.ru/html/watch/1/1_10.html
Умные часы GT 2 MATTE BLACK LTN-B19 HUAWEI;80578980;Huawei;Fit Elegant TIA-B29;17;15850 руб;16010 руб;https://parsinger.ru/html/watch/1/1_11.html
Умные часы GT 2 PEBBLE BROWN LTN-B19 HUAWEI;8105728981;Huawei;GT 2 LTN-B19V;24;17070 руб;17250 руб;https://parsinger.ru/html/watch/1/1_12.html
Умные часы GT 2 PRO VID-B19 NEBULA GRAY HUAWEI;80581843;Huawei;GT 2 Pro Vidar-B19V;55;27770 руб;28050 руб;https://parsinger.ru/html/watch/1/1_13.html
Умные часы GT 2 PRO VID-B19 NIGHT BLACK HUAWEI;80581844;Huawei;GT 2 Pro Vidar-B19S;37;24230 руб;24480 руб;https://parsinger.ru/html/watch/1/1_14.html
Умные часы FIT ELEGANT TIA-B29 FROSTY WHITE HUAWEI;80578979;Huawei;Fit Elegant TIA-B29;7;11460 руб;11580 руб;https://parsinger.ru/html/watch/1/1_15.html
Умные часы FIT TIA-B09 GRAPHITE BLACK HUAWEI;80598423;Huawei;Fit TIA-B09;21;9040 руб;9130 руб;https://parsinger.ru/html/watch/1/1_16.html
Умные часы KIDS 4 PRO ASN-AL10 BLUE HUAWEI; 80605938;Huawei;KIDS 4 PRO;57;15850 руб;16850 руб;https://parsinger.ru/html/watch/1/1_17.html
Умные часы KIDS 4 PRO ASN-AL10 PINK HUAWEI;80605939;Huawei;KIDS 4 PRO;58;15850 руб;16010 руб;https://parsinger.ru/html/watch/1/1_18.html
GT 2 NIGHT BLACK DIANA-B19S HUAWEI;80605940;Huawei;Watch GT 2 Diana-B19S;29;15850 руб;16010 руб;https://parsinger.ru/html/watch/1/1_19.html
Умные часы GT 3 JPT-B19S BLACK HUAWEI;80609750;Huawei;GT 3 JPT-B19S;42;24230 руб;24480 руб;https://parsinger.ru/html/watch/1/1_20.html
Умные часы FIT TIA-B09 DISTILLED BLUE HUAWEI;80598422;Huawei;Fit TIA-B09;21;9040 руб;9130 руб;https://parsinger.ru/html/watch/1/1_21.html
Умные часы FIT TIA-B09 SAKURA PINK HUAWEI;80598424;Huawei;Fit TIA-B09;20;9040 руб;9130 руб;https://parsinger.ru/html/watch/1/1_22.html
Часы Medisana Шагомер ViFit Connect;8705336;Medisana;ViFit Connect;55;4580 руб;4630 руб;https://parsinger.ru/html/watch/1/1_23.html
Canyon - CNS-SW82BB;8025293634;Canyon;CNS-SW82BB;20;4840 руб;4890 руб;https://parsinger.ru/html/watch/1/1_24.html
Умные часы FLY BLACK G-SM16BLK GEOZON;80590694;Geozon;G-SM16BLK;29;3880 руб;3920 руб;https://parsinger.ru/html/watch/1/1_25.html
Canyon - CNS-SW81BG; 80468640;Canyon;CNS-SW81BG;60;4510 руб;4560 руб;https://parsinger.ru/html/watch/1/1_26.html
Умные часы MAGIC 2 BLACK 46MM MNS-B39 HONOR;80612714;Honor;MNS-B39;41;11480 руб;11600 руб;https://parsinger.ru/html/watch/1/1_27.html
Фитнес-браслет BAND FIT PLUS RED G-SM14RED GEOZON;80578938;Geozon;G-SM14RED;26;3790 руб;3830 руб;https://parsinger.ru/html/watch/1/1_28.html
Фитнес-браслет Mi Smart Band 6;80574754;Xiaomi;G-SM14RED;26;4700 руб;5700 руб;https://parsinger.ru/html/watch/1/1_29.html
"Смарт-часы Jet Kid Pinkie Pie 40мм 1.44"" TFT розовый";80350904;Jet;Kid Pinkie Pie 40мм;7;5140 руб;5190 руб;https://parsinger.ru/html/watch/1/1_30.html
"Смарт-часы Jet Sport SW-4C 1.54"" IPS серебристый (SW-4C SILVER)";80397648;Jet;SW-4C;17;4600 руб;4640 руб;https://parsinger.ru/html/watch/1/1_31.html
"Смарт-часы Jet Kid Optimus Prime 45мм 1.44"" TFT синий/красный";80350906;Jet;Kid Optimus Prime 45мм;12;6050 руб;6110 руб;https://parsinger.ru/html/watch/1/1_32.html
teXet TM-519R черный-красный Мобильный телефон;80397881;Texet;TM-519R;31;2490 руб;2520 руб;https://parsinger.ru/html/mobile/2/2_1.html
Мобильный телефон Fly Ezzy 3 белый;8579276;Fly;Ezzy 3;20;1070 руб;1080 руб;https://parsinger.ru/html/mobile/2/2_2.html
Телефон Nokia 150 DS TA-1235 (2020) Cyan;80548138;NOKIA;Ezzy 3;17;3130 руб;3160 руб;https://parsinger.ru/html/mobile/2/2_3.html
Мобильный телефон BQ 2430 Tank Power серебристый камуфляж;80350335;BQ;2430 Tank Power;7;1920 руб;1940 руб;https://parsinger.ru/html/mobile/2/2_4.html
Мобильный телефон NOKIA 130 Dual Sim 2017 черный (A00028615);8694521;NOKIA;130 Dual Sim 2017;37;1550 руб;1820 руб;https://parsinger.ru/html/mobile/2/2_5.html
Мобильный телефон Texet TM-B217 черный красный;80040225;Texet;TM-B217;5;1830 руб;1870 руб;https://parsinger.ru/html/mobile/2/2_6.html
NOKIA TA-1253;80548137;NOKIA;TA-1253;15;2020 руб;2220 руб;https://parsinger.ru/html/mobile/2/2_7.html
Мобильный телефон Texet 130-TM черный красный;80412207;Texet;130-TM;60;1160 руб;1460 руб;https://parsinger.ru/html/mobile/2/2_8.html
Мобильный телефон NOKIA 105 SS TA-1203 синий; 80365450;NOKIA;105 SS TA-1203;30;1550 руб;1920 руб;https://parsinger.ru/html/mobile/2/2_9.html
Мобильный телефон NOKIA 105 DS розовый; 80350339;NOKIA;105 DS;30;1460 руб;1860 руб;https://parsinger.ru/html/mobile/2/2_10.html
TEXET TM-408 мобильный телефон цвет синий; 80594622;Texet;TM-408;13;2740 руб;2940 руб;https://parsinger.ru/html/mobile/2/2_11.html
Телефон NOKIA 105 Dual sim (2019) черный (16KIGB01A01); 8025946222;NOKIA;105 Dual sim (2019);3;1740 руб;1940 руб;https://parsinger.ru/html/mobile/2/2_12.html
Мобильный телефон Texet TM-204 красный; 80040222;Texet;TM-204;7;1840 руб;1860 руб;https://parsinger.ru/html/mobile/2/2_13.html
Телефон NOKIA 3310 Dual темно-синий; 80035628;NOKIA;3310 Dual;77;3350 руб;3950 руб;https://parsinger.ru/html/mobile/2/2_14.html
Телефон NOKIA 3310 Dual жёлтый; 80035625;NOKIA;3310 Dual;55;4910 руб;4950 руб;https://parsinger.ru/html/mobile/2/2_15.html
Мобильный телефон Texet 130-TM черный; 80246442;Texet;130-TM;77;1130 руб;1530 руб;https://parsinger.ru/html/mobile/2/2_16.html
Мобильный телефон NOKIA 106 DS TA-1114 серый; 80246442;NOKIA;106 DS TA-1114;27;1720 руб;1590 руб;https://parsinger.ru/html/mobile/2/2_17.html
Мобильный телефон Texet TM-513R черный оранжевый; 8813339;Texet;TM-513R;10;3630 руб;3730 руб;https://parsinger.ru/html/mobile/2/2_18.html
teXet TM-B226 черный-красный Мобильный телефон; 80140986;Texet;TM-B226;11;2690 руб;2920 руб;https://parsinger.ru/html/mobile/2/2_19.html
Мобильный телефон NOKIA 105 DS Blue синий;  80350338;NOKIA;105 DS Blue;8;1460 руб;1920 руб;https://parsinger.ru/html/mobile/2/2_20.html
